Robbery	144	September	2009	9/30/2009
Assault	178	September	2009	9/30/2009
Burglary	380	September	2009	9/30/2009
Larceny	851	September	2009	9/30/2009
Motor Vehicle Theft	140	September	2009	9/30/2009
Homicide	6	October	2009	10/31/2009
Rape	13	October	2009	10/31/2009
Robbery	148	October	2009	10/31/2009
Assault	151	October	2009	10/31/2009
Burglary	376	October	2009	10/31/2009
Larceny	832	October	2009	10/31/2009
Motor Vehicle Theft	135	October	2009	10/31/2009
Homicide	6	November	2009	11/30/2009
Rape	8	November	2009	11/30/2009
Robbery	178	November	2009	11/30/2009
Assault	154	November	2009	11/30/2009
Burglary	368	November	2009	11/30/2009
Larceny	816	November	2009	11/30/2009
Motor Vehicle Theft	119	November	2009	11/30/2009
Homicide	4	December	2009	12/31/2009
Rape	9	December	2009	12/31/2009
Robbery	154	December	2009	12/31/2009
Assault	140	December	2009	12/31/2009
Burglary	316	December	2009	12/31/2009
Larceny	629	December	2009	12/31/2009
Motor Vehicle Theft	134	December	2009	12/31/2009
Homicide	5	January	2010	1/31/2010
Rape	14	January	2010	1/31/2010
Robbery	136	January	2010	1/31/2010
Assault	129	January	2010	1/31/2010
Burglary	307	January	2010	1/31/2010
Larceny	619	January	2010	1/31/2010
Motor Vehicle Theft	124	January	2010	1/31/2010
Homicide	3	February	2010	2/28/2010
Rape	5	February	2010	2/28/2010
Robbery	86	February	2010	2/28/2010
Assault	102	February	2010	2/28/2010
Burglary	242	February	2010	2/28/2010
Larceny	511	February	2010	2/28/2010
Motor Vehicle Theft	110	February	2010	2/28/2010
Homicide	0	March	2010	3/31/2010
Rape	14	March	2010	3/31/2010
Robbery	91	March	2010	3/31/2010
Assault	165	March	2010	3/31/2010
Burglary	260	March	2010	3/31/2010
Larceny	676	March	2010	3/31/2010
Motor Vehicle Theft	129	March	2010	3/31/2010
Homicide	8	April	2010	4/30/2010
Rape	7	April	2010	4/30/2010
Robbery	139	April	2010	4/30/2010
Assault	157	April	2010	4/30/2010
Burglary	309	April	2010	4/30/2010
Larceny	721	April	2010	4/30/2010
Motor Vehicle Theft	106	April	2010	4/30/2010
Homicide	4	May	2010	5/31/2010
Rape	18	May	2010	5/31/2010
Robbery	123	May	2010	5/31/2010
Assault	191	May	2010	5/31/2010
Burglary	382	May	2010	5/31/2010
Larceny	784	May	2010	5/31/2010
